noise,kernel,kernel_file,image,psnr,ssim,alpha,gamma1,gamma2,max_iter,method,architecture
0.0025,1,blur_1.mat,ILSVRC2012_val_00000491.JPEG.png,35.27920894427386,0.9380285739898682,0.82,0.5,0.99,1200,Gaussian-PnPPDS,DnCNN_nobn_nch_3_nlev_0.01
0.0025,1,blur_1.mat,ILSVRC2012_val_00002289.JPEG.png,39.99277682537293,0.9748649597167969,0.82,0.5,0.99,1200,Gaussian-PnPPDS,DnCNN_nobn_nch_3_nlev_0.01
0.0025,1,blur_1.mat,ILSVRC2012_val_00005941.JPEG.png,37.17224694805205,0.9749271273612976,0.82,0.5,0.99,1200,Gaussian-PnPPDS,DnCNN_nobn_nch_3_nlev_0.01
0.0025,1,blur_1.mat,ILSVRC2012_val_00007658.JPEG.png,37.303729599903946,0.95750492811203,0.82,0.5,0.99,1200,Gaussian-PnPPDS,DnCNN_nobn_nch_3_nlev_0.01
0.0025,1,blur_1.mat,ILSVRC2012_val_00028884.JPEG.png,35.26306541527225,0.9720526337623596,0.82,0.5,0.99,1200,Gaussian-PnPPDS,DnCNN_nobn_nch_3_nlev_0.01
0.0025,1,blur_1.mat,ILSVRC2012_val_00038157.JPEG.png,34.09022973295548,0.9242987632751465,0.82,0.5,0.99,1200,Gaussian-PnPPDS,DnCNN_nobn_nch_3_nlev_0.01
0.0025,1,blur_1.mat,ILSVRC2012_val_00044012.JPEG.png,41.581042723168274,0.9819918274879456,0.82,0.5,0.99,1200,Gaussian-PnPPDS,DnCNN_nobn_nch_3_nlev_0.01
0.0025,2,blur_2.mat,ILSVRC2012_val_00000491.JPEG.png,34.79289891702881,0.930996835231781,0.82,0.5,0.99,1200,Gaussian-PnPPDS,DnCNN_nobn_nch_3_nlev_0.01
0.0025,2,blur_2.mat,ILSVRC2012_val_00002289.JPEG.png,39.32553422481537,0.971956193447113,0.82,0.5,0.99,1200,Gaussian-PnPPDS,DnCNN_nobn_nch_3_nlev_0.01
0.0025,2,blur_2.mat,ILSVRC2012_val_00005941.JPEG.png,36.59333295512474,0.971974790096283,0.82,0.5,0.99,1200,Gaussian-PnPPDS,DnCNN_nobn_nch_3_nlev_0.01
0.0025,2,blur_2.mat,ILSVRC2012_val_00007658.JPEG.png,36.99784430962499,0.9537067413330078,0.82,0.5,0.99,1200,Gaussian-PnPPDS,DnCNN_nobn_nch_3_nlev_0.01
0.0025,2,blur_2.mat,ILSVRC2012_val_00028884.JPEG.png,34.039166910612686,0.9637656211853027,0.82,0.5,0.99,1200,Gaussian-PnPPDS,DnCNN_nobn_nch_3_nlev_0.01
0.0025,2,blur_2.mat,ILSVRC2012_val_00038157.JPEG.png,33.445618703432245,0.9132421612739563,0.82,0.5,0.99,1200,Gaussian-PnPPDS,DnCNN_nobn_nch_3_nlev_0.01
0.0025,2,blur_2.mat,ILSVRC2012_val_00044012.JPEG.png,41.048317426934545,0.979472815990448,0.82,0.5,0.99,1200,Gaussian-PnPPDS,DnCNN_nobn_nch_3_nlev_0.01
0.0025,3,blur_3.mat,ILSVRC2012_val_00000491.JPEG.png,33.99700153270707,0.9178803563117981,0.82,0.5,0.99,1200,Gaussian-PnPPDS,DnCNN_nobn_nch_3_nlev_0.01
0.0025,3,blur_3.mat,ILSVRC2012_val_00002289.JPEG.png,38.460738344798266,0.9707083702087402,0.82,0.5,0.99,1200,Gaussian-PnPPDS,DnCNN_nobn_nch_3_nlev_0.01
0.0025,3,blur_3.mat,ILSVRC2012_val_00005941.JPEG.png,35.39735822286685,0.9655677676200867,0.82,0.5,0.99,1200,Gaussian-PnPPDS,DnCNN_nobn_nch_3_nlev_0.01
0.0025,3,blur_3.mat,ILSVRC2012_val_00007658.JPEG.png,35.98280921150507,0.9475658535957336,0.82,0.5,0.99,1200,Gaussian-PnPPDS,DnCNN_nobn_nch_3_nlev_0.01
0.0025,3,blur_3.mat,ILSVRC2012_val_00028884.JPEG.png,32.39978909924703,0.9496293663978577,0.82,0.5,0.99,1200,Gaussian-PnPPDS,DnCNN_nobn_nch_3_nlev_0.01
0.0025,3,blur_3.mat,ILSVRC2012_val_00038157.JPEG.png,32.34404349412455,0.8914192318916321,0.82,0.5,0.99,1200,Gaussian-PnPPDS,DnCNN_nobn_nch_3_nlev_0.01
0.0025,3,blur_3.mat,ILSVRC2012_val_00044012.JPEG.png,41.175257858615375,0.9803783297538757,0.82,0.5,0.99,1200,Gaussian-PnPPDS,DnCNN_nobn_nch_3_nlev_0.01
0.0025,4,blur_4.mat,ILSVRC2012_val_00000491.JPEG.png,34.51915469745027,0.9267722964286804,0.82,0.5,0.99,1200,Gaussian-PnPPDS,DnCNN_nobn_nch_3_nlev_0.01
0.0025,4,blur_4.mat,ILSVRC2012_val_00002289.JPEG.png,39.24650123210088,0.9692723155021667,0.82,0.5,0.99,1200,Gaussian-PnPPDS,DnCNN_nobn_nch_3_nlev_0.01
0.0025,4,blur_4.mat,ILSVRC2012_val_00005941.JPEG.png,36.595309998384664,0.9711338877677917,0.82,0.5,0.99,1200,Gaussian-PnPPDS,DnCNN_nobn_nch_3_nlev_0.01
0.0025,4,blur_4.mat,ILSVRC2012_val_00007658.JPEG.png,36.798023673950865,0.950221061706543,0.82,0.5,0.99,1200,Gaussian-PnPPDS,DnCNN_nobn_nch_3_nlev_0.01
0.0025,4,blur_4.mat,ILSVRC2012_val_00028884.JPEG.png,34.83547626569626,0.9670583605766296,0.82,0.5,0.99,1200,Gaussian-PnPPDS,DnCNN_nobn_nch_3_nlev_0.01
0.0025,4,blur_4.mat,ILSVRC2012_val_00038157.JPEG.png,33.61074258829639,0.9147262573242188,0.82,0.5,0.99,1200,Gaussian-PnPPDS,DnCNN_nobn_nch_3_nlev_0.01
0.0025,4,blur_4.mat,ILSVRC2012_val_00044012.JPEG.png,40.78647303822223,0.9782399535179138,0.82,0.5,0.99,1200,Gaussian-PnPPDS,DnCNN_nobn_nch_3_nlev_0.01
0.0025,5,blur_5.mat,ILSVRC2012_val_00000491.JPEG.png,35.012980874897124,0.9342687726020813,0.82,0.5,0.99,1200,Gaussian-PnPPDS,DnCNN_nobn_nch_3_nlev_0.01
0.0025,5,blur_5.mat,ILSVRC2012_val_00002289.JPEG.png,39.584286352372985,0.9769271016120911,0.82,0.5,0.99,1200,Gaussian-PnPPDS,DnCNN_nobn_nch_3_nlev_0.01
0.0025,5,blur_5.mat,ILSVRC2012_val_00005941.JPEG.png,36.55657921523555,0.9736484885215759,0.82,0.5,0.99,1200,Gaussian-PnPPDS,DnCNN_nobn_nch_3_nlev_0.01
0.0025,5,blur_5.mat,ILSVRC2012_val_00007658.JPEG.png,36.902134747870896,0.9574103355407715,0.82,0.5,0.99,1200,Gaussian-PnPPDS,DnCNN_nobn_nch_3_nlev_0.01
0.0025,5,blur_5.mat,ILSVRC2012_val_00028884.JPEG.png,32.55444402799482,0.9546707272529602,0.82,0.5,0.99,1200,Gaussian-PnPPDS,DnCNN_nobn_nch_3_nlev_0.01
0.0025,5,blur_5.mat,ILSVRC2012_val_00038157.JPEG.png,33.16333880742875,0.9114966988563538,0.82,0.5,0.99,1200,Gaussian-PnPPDS,DnCNN_nobn_nch_3_nlev_0.01
0.0025,5,blur_5.mat,ILSVRC2012_val_00044012.JPEG.png,42.82883426673681,0.986736536026001,0.82,0.5,0.99,1200,Gaussian-PnPPDS,DnCNN_nobn_nch_3_nlev_0.01
0.0025,6,blur_6.mat,ILSVRC2012_val_00000491.JPEG.png,35.525158130288716,0.9406570792198181,0.82,0.5,0.99,1200,Gaussian-PnPPDS,DnCNN_nobn_nch_3_nlev_0.01
0.0025,6,blur_6.mat,ILSVRC2012_val_00002289.JPEG.png,40.154007271202936,0.9775492548942566,0.82,0.5,0.99,1200,Gaussian-PnPPDS,DnCNN_nobn_nch_3_nlev_0.01
0.0025,6,blur_6.mat,ILSVRC2012_val_00005941.JPEG.png,37.34013046199186,0.9756162762641907,0.82,0.5,0.99,1200,Gaussian-PnPPDS,DnCNN_nobn_nch_3_nlev_0.01
0.0025,6,blur_6.mat,ILSVRC2012_val_00007658.JPEG.png,37.722745608116554,0.9607354998588562,0.82,0.5,0.99,1200,Gaussian-PnPPDS,DnCNN_nobn_nch_3_nlev_0.01
0.0025,6,blur_6.mat,ILSVRC2012_val_00028884.JPEG.png,34.42722347096834,0.9656548500061035,0.82,0.5,0.99,1200,Gaussian-PnPPDS,DnCNN_nobn_nch_3_nlev_0.01
