task,eta,image,psnr,ssim,update,lambda,max_iter,gamma1,gamma2,r,method,architecture
Deblurring,1,01.png,18.75497813541974,0.6230565905570984,2.7552739993552677e-05,0.002,4800,0.5,0.99,1,Poisson-PnPPDS,DnCNN_nobn_nch_1_nlev_0.01
Deblurring,1,02.png,20.253785210939732,0.6855637431144714,2.14637129829498e-05,0.002,4800,0.5,0.99,1,Poisson-PnPPDS,DnCNN_nobn_nch_1_nlev_0.01
Deblurring,1,03.png,18.061991409889856,0.5877960920333862,1.5264495232258923e-05,0.002,4800,0.5,0.99,1,Poisson-PnPPDS,DnCNN_nobn_nch_1_nlev_0.01
Deblurring,2,01.png,19.92723692532741,0.6475600004196167,7.698728040850256e-06,0.002,4800,0.5,0.99,1,Poisson-PnPPDS,DnCNN_nobn_nch_1_nlev_0.01
Deblurring,2,02.png,21.349293639056206,0.7026545405387878,1.8365470168646425e-05,0.002,4800,0.5,0.99,1,Poisson-PnPPDS,DnCNN_nobn_nch_1_nlev_0.01
Deblurring,2,03.png,19.270299691397096,0.6215670704841614,1.3429184946289752e-05,0.002,4800,0.5,0.99,1,Poisson-PnPPDS,DnCNN_nobn_nch_1_nlev_0.01
Deblurring,10,01.png,22.08643616424736,0.7072354555130005,2.573590563770267e-06,0.0015,4800,0.5,0.99,1,Poisson-PnPPDS,DnCNN_nobn_nch_1_nlev_0.01
Deblurring,10,02.png,24.578971670230324,0.7583318948745728,3.548430868249852e-06,0.0015,4800,0.5,0.99,1,Poisson-PnPPDS,DnCNN_nobn_nch_1_nlev_0.01
Deblurring,10,03.png,21.95464564387784,0.6935378909111023,1.2774979722962598e-06,0.0015,4800,0.5,0.99,1,Poisson-PnPPDS,DnCNN_nobn_nch_1_nlev_0.01
Deblurring,50,01.png,24.361848068015043,0.7552666068077087,1.69116428878624e-05,0.00125,1200,0.5,0.99,1,Poisson-PnPPDS,DnCNN_nobn_nch_1_nlev_0.01
Deblurring,50,02.png,26.884845027042555,0.7950454950332642,9.439684617973398e-06,0.00125,1200,0.5,0.99,1,Poisson-PnPPDS,DnCNN_nobn_nch_1_nlev_0.01
Deblurring,50,03.png,24.274484064968682,0.7604467272758484,1.3486188436218072e-05,0.00125,1200,0.5,0.99,1,Poisson-PnPPDS,DnCNN_nobn_nch_1_nlev_0.01
Deblurring,100,01.png,25.32664067058938,0.7732529640197754,9.508064067631494e-06,0.00125,1200,0.5,0.99,1,Poisson-PnPPDS,DnCNN_nobn_nch_1_nlev_0.01
Deblurring,100,02.png,28.019042149995702,0.8059542179107666,6.22605375610874e-06,0.00125,1200,0.5,0.99,1,Poisson-PnPPDS,DnCNN_nobn_nch_1_nlev_0.01
Deblurring,100,03.png,25.960146130937343,0.7879047989845276,6.536467481055297e-06,0.00125,1200,0.5,0.99,1,Poisson-PnPPDS,DnCNN_nobn_nch_1_nlev_0.01
Deblurring,200,01.png,26.44094080551563,0.7934201955795288,6.915377980476478e-06,0.001,1200,0.5,0.99,1,Poisson-PnPPDS,DnCNN_nobn_nch_1_nlev_0.01
Deblurring,200,02.png,29.58665126317307,0.8255247473716736,4.364940195955569e-06,0.001,1200,0.5,0.99,1,Poisson-PnPPDS,DnCNN_nobn_nch_1_nlev_0.01
Deblurring,200,03.png,27.288793679206478,0.8096112012863159,7.788709808664862e-06,0.001,1200,0.5,0.99,1,Poisson-PnPPDS,DnCNN_nobn_nch_1_nlev_0.01
Inpainting,1,01.png,18.447004989184723,0.6451019048690796,1.6905863731153659e-06,0.00125,12000,0.5,0.99,0.8,Poisson-PnPPDS,DnCNN_nobn_nch_1_nlev_0.01
Inpainting,1,02.png,19.29729458875159,0.7076131105422974,4.606751645042095e-06,0.00125,12000,0.5,0.99,0.8,Poisson-PnPPDS,DnCNN_nobn_nch_1_nlev_0.01
Inpainting,1,03.png,18.114511290951867,0.614777684211731,1.4284792086982634e-06,0.00125,12000,0.5,0.99,0.8,Poisson-PnPPDS,DnCNN_nobn_nch_1_nlev_0.01
Inpainting,2,01.png,20.758956710920998,0.6886128783226013,1.9861497548845364e-06,0.00125,12000,0.5,0.99,0.8,Poisson-PnPPDS,DnCNN_nobn_nch_1_nlev_0.01
Inpainting,2,02.png,22.037145562142303,0.7360628843307495,1.736684254183274e-07,0.00125,12000,0.5,0.99,0.8,Poisson-PnPPDS,DnCNN_nobn_nch_1_nlev_0.01
Inpainting,2,03.png,20.687996569724845,0.6601040363311768,1.0239786973897935e-07,0.00125,12000,0.5,0.99,0.8,Poisson-PnPPDS,DnCNN_nobn_nch_1_nlev_0.01
Inpainting,10,01.png,25.145695583547788,0.7617554664611816,2.8284606656825417e-08,0.001,12000,0.5,0.99,0.8,Poisson-PnPPDS,DnCNN_nobn_nch_1_nlev_0.01
Inpainting,10,02.png,27.169323266029192,0.7947255373001099,2.742214100237561e-08,0.001,12000,0.5,0.99,0.8,Poisson-PnPPDS,DnCNN_nobn_nch_1_nlev_0.01
