method,noise,mean_psnr,mean_ssim
strong-to-weak,0.0025,37.80048860822405,0.9731032848358154
strong-to-weak,0.005,37.07374109540667,0.9693108541624886
strong-to-weak,0.01,36.011448178972515,0.9600398540496826
strong-to-weak,0.02,33.98786899021694,0.9349026339394706
strong-to-weak,0.04,31.880929401942662,0.8947648065430778
weak-constant,0.0025,12.15113571711949,0.25577304618699204
weak-constant,0.005,12.151904787336077,0.25504849425383974
weak-constant,0.01,12.151863098144531,0.2529545990484101
weak-constant,0.02,12.202575819832939,0.24833494424819946
weak-constant,0.04,12.166385923113141,0.2382427964891706
