noise,kernel_index,kernel_file,image_index,image,final_psnr,final_ssim,best_psnr,best_iter,ssim_at_best_psnr,final_update,runtime_per_iter,max_iter,gamma1,gamma2,alpha,score_sigma_begin,score_sigma_end,denoise_relax
0.0025,1,gaussian_1_6.mat,1,ILSVRC2012_val_00000491.JPEG.png,28.426475524902344,0.7795405387878418,28.426475524902344,250,0.7795405387878418,9.476352715864778e-05,3.1279292651399997,250,0.5,0.99,0.82,2.55,2.55,0.4
0.0025,1,gaussian_1_6.mat,2,ILSVRC2012_val_00002289.JPEG.png,29.886974334716797,0.9243168830871582,29.913644790649414,213,0.9249326586723328,0.00014347778051160276,3.1103650382800003,250,0.5,0.99,0.82,2.55,2.55,0.4
0.0025,1,gaussian_1_6.mat,3,ILSVRC2012_val_00005941.JPEG.png,26.927291870117188,0.8823344111442566,26.927291870117188,250,0.8823344111442566,0.00014863003161735833,3.112984400348,250,0.5,0.99,0.82,2.55,2.55,0.4
0.0025,1,gaussian_1_6.mat,4,ILSVRC2012_val_00007658.JPEG.png,27.130924224853516,0.8019921183586121,27.511089324951172,94,0.809629499912262,0.00029154197545722127,3.134766482672001,250,0.5,0.99,0.82,2.55,2.55,0.4
0.0025,1,gaussian_1_6.mat,5,ILSVRC2012_val_00028884.JPEG.png,23.511608123779297,0.7035655379295349,23.579025268554688,122,0.7028965950012207,0.0006152980495244265,3.131171102708,250,0.5,0.99,0.82,2.55,2.55,0.4
0.0025,1,gaussian_1_6.mat,6,ILSVRC2012_val_00038157.JPEG.png,27.47886848449707,0.7393591403961182,27.47886848449707,250,0.7393591403961182,0.00023762132332194597,3.1181245491280007,250,0.5,0.99,0.82,2.55,2.55,0.4
0.0025,1,gaussian_1_6.mat,7,ILSVRC2012_val_00044012.JPEG.png,35.884281158447266,0.9443610310554504,36.02411651611328,201,0.947173535823822,0.00016300946299452335,3.122527068971998,250,0.5,0.99,0.82,2.55,2.55,0.4
0.0025,2,square_7.mat,1,ILSVRC2012_val_00000491.JPEG.png,28.833499908447266,0.7800813317298889,29.108787536621094,141,0.7917904257774353,0.0005023496923968196,3.0930204239880004,250,0.5,0.99,0.82,2.55,2.55,0.4
0.0025,2,square_7.mat,2,ILSVRC2012_val_00002289.JPEG.png,33.256126403808594,0.9294652938842773,33.256126403808594,250,0.9294652938842773,0.0005092721548862755,3.138422328003999,250,0.5,0.99,0.82,2.55,2.55,0.4
0.0025,2,square_7.mat,3,ILSVRC2012_val_00005941.JPEG.png,27.477418899536133,0.844989001750946,27.646942138671875,153,0.8554368019104004,0.0004796435823664069,3.210651471379999,250,0.5,0.99,0.82,2.55,2.55,0.4
0.0025,2,square_7.mat,4,ILSVRC2012_val_00007658.JPEG.png,29.741653442382812,0.8456526398658752,29.757200241088867,198,0.8487364649772644,0.0004903002991341054,3.096190255087997,250,0.5,0.99,0.82,2.55,2.55,0.4
0.0025,2,square_7.mat,5,ILSVRC2012_val_00028884.JPEG.png,25.085800170898438,0.7865495681762695,25.085800170898438,250,0.7865495681762695,0.000997156254015863,3.1707445783879957,250,0.5,0.99,0.82,2.55,2.55,0.4
0.0025,2,square_7.mat,6,ILSVRC2012_val_00038157.JPEG.png,27.60361099243164,0.7370772957801819,27.772167205810547,136,0.7436097264289856,0.0005570820649154484,3.118181678868001,250,0.5,0.99,0.82,2.55,2.55,0.4
0.0025,2,square_7.mat,7,ILSVRC2012_val_00044012.JPEG.png,35.44985580444336,0.9284327030181885,35.602481842041016,198,0.9298095703125,0.0003422697773203254,3.0807328677240005,250,0.5,0.99,0.82,2.55,2.55,0.4
0.005,1,gaussian_1_6.mat,1,ILSVRC2012_val_00000491.JPEG.png,27.88775062561035,0.7475326061248779,28.08283805847168,105,0.7576397061347961,0.0001280867145396769,3.0830106718640016,250,0.5,0.99,0.86,2.55,2.55,0.4
0.005,1,gaussian_1_6.mat,2,ILSVRC2012_val_00002289.JPEG.png,29.49333381652832,0.908639669418335,29.493722915649414,247,0.9087737202644348,0.00029115614597685635,3.1640091837919972,250,0.5,0.99,0.86,2.55,2.55,0.4
0.005,1,gaussian_1_6.mat,3,ILSVRC2012_val_00005941.JPEG.png,26.4920597076416,0.8662400841712952,26.4920597076416,250,0.8662400841712952,0.00013081073120702058,3.1122284723999982,250,0.5,0.99,0.86,2.55,2.55,0.4
0.005,1,gaussian_1_6.mat,4,ILSVRC2012_val_00007658.JPEG.png,26.79282569885254,0.7732442021369934,27.331661224365234,92,0.7962639331817627,0.00024513949756510556,3.0702564621119963,250,0.5,0.99,0.86,2.55,2.55,0.4
0.005,1,gaussian_1_6.mat,5,ILSVRC2012_val_00028884.JPEG.png,23.32127571105957,0.6818151473999023,23.438066482543945,126,0.6876091361045837,0.0003692115133162588,3.0887193592319964,250,0.5,0.99,0.86,2.55,2.55,0.4
0.005,1,gaussian_1_6.mat,6,ILSVRC2012_val_00038157.JPEG.png,26.969816207885742,0.7197093963623047,26.969863891601562,248,0.7196968197822571,0.00010559555812506005,3.102556867719999,250,0.5,0.99,0.86,2.55,2.55,0.4
